"","blood_volume","CR_fitness"
"1",6.78132469816941,"fit"
"2",5.59625513394423,"fit"
"3",5.262349724521,"fit"
"4",6.53319308313317,"fit"
"5",5.20143531931338,"fit"
"6",3.79301319204805,"fit"
"7",5.31498493926852,"fit"
"8",3.59670515556823,"fit"
"9",5.77006104942085,"fit"
"10",5.90486083837747,"fit"
"11",6.59568403496008,"fit"
"12",3.95957849054334,"fit"
"13",4.5436967306752,"fit"
"14",4.73223733723492,"fit"
"15",5.75816882755949,"fit"
"16",3.10559770408935,"fit"
"17",5.46815795128934,"fit"
"18",5.12690975400486,"fit"
"19",4.14759433119902,"fit"
"20",4.08294053356993,"fit"
"21",4.52404536490113,"fit"
"22",4.10764804512262,"fit"
"23",4.77726805753907,"fit"
"24",4.95062476118172,"fit"
"25",3.90377593818226,"fit"
"26",4.23347637359186,"unfit"
"27",4.73566408959934,"unfit"
"28",5.09221080842836,"unfit"
"29",3.35437332238812,"unfit"
"30",4.66620863542554,"unfit"
"31",4.81754403694122,"unfit"
"32",3.44002940212409,"unfit"
"33",4.78614721619076,"unfit"
"34",2.86929330614625,"unfit"
"35",2.38476108612827,"unfit"
"36",2.78565627179269,"unfit"
"37",4.61679637342182,"unfit"
"38",4.04290423075973,"unfit"
"39",3.85611659155123,"unfit"
"40",3.85492200404352,"unfit"
"41",3.96135804141653,"unfit"
"42",3.35569853615757,"unfit"
"43",4.3849852741094,"unfit"
"44",2.4531502990507,"unfit"
"45",4.98935406911742,"unfit"
"46",3.62370924343764,"unfit"
"47",5.24111623986206,"unfit"
"48",3.05226470931523,"unfit"
"49",5.76797780755595,"unfit"
"50",4.91732777754881,"unfit"
